id,name,country,city,bic,street,street2,zip,phone
l10n_ec.bank_31,COOPERATIVA DE AHORRO Y CREDITO ANDALUCIA LTDA,Ecuador,QUITO,CHEDECE1,,,,
l10n_ec.bank_32,COOPERATIVA DE AHORRO Y CREDITO COCA LTDA,Ecuador,QUITO Y BOLIVAR,OAOCECE1,,,,
l10n_ec.bank_33,COOPERATIVA DE AHORRO Y CREDITO EL SAGRARIO LTDA,Ecuador,AMBATO,CHSGECE1,,,,
l10n_ec.bank_34,COOPERATIVA DE AHORRO Y CREDITO GUARANDA LTDA,Ecuador,GUARANDA,CRGNECE1,,,,
l10n_ec.bank_35,COOPERATIVA DE AHORRO Y CREDITO JUVENTUD ECUATORIANA PROGRESISTA LTDA.,Ecuador,CUENCA,CJEPECEQ,,,,
l10n_ec.bank_36,COOPERATIVA DE AHORRO Y CREDITO VICENTINA MANUEL ESTEBAN GODOY ORTEGA LTDA,Ecuador,LOJA,CPGMECE1,,,,
l10n_ec.bank_37,COOPERATIVA DE AHORRO Y CREDITO OSCUS LTDA,Ecuador,AMBATO,CSOSECE1,,,,
l10n_ec.bank_38,COOPERATIVA DE AHORRO Y CREDITO PABLO MUNOZ VEGA,Ecuador,TULCAN,CHCBECE1,,,,
l10n_ec.bank_39,COOPERATIVA DE AHORRO Y CREDITO COOPROGRESO LTDA.,Ecuador,QUITO,CHCRECE1,,,,
l10n_ec.bank_40,COOPERATIVA DE AHORRO Y CREDITO RIOBAMBA,Ecuador,RIOBAMBA,CHDMECE1,,,,
l10n_ec.bank_41,COOPERATIVA DE AHORRO Y CREDITO SAN FRANCISCO DE ASIS LTDA.,Ecuador,QUITO,CHTNECE1,,,,
l10n_ec.bank_42,COOPERATIVA DE AHORRO Y CREDITO TULCAN,Ecuador,TULCAN,CHRLECE1,,,,
l10n_ec.bank_43,COOPERATIVA DE AHORRO Y CREDITO ATUNTAQUI LTDA,Ecuador,ATUNTAQUI,CATQECE1,,,,
l10n_ec.bank_44,COOPERATIVA DE AHORRO Y CREDITO COMERCIO LTDA,Ecuador,PORTOVIEJO,CHRCECE1,,,,
l10n_ec.bank_45,COOPERATIVA DE AHORRO Y CREDITO LA DOLOROSA LTDA.,Ecuador,DURAN,CHTDECE1,,,,
l10n_ec.bank_46,COOPERATIVA DE AHORRO Y CREDITO FUTURO Y DESARROLLO FUNDESARROLLO,Ecuador,QUITO,CHTFECE1,,,,
l10n_ec.bank_47,COOPERATIVA DE AHORRO Y CREDITO ALIANZA DEL VALLE LTDA,Ecuador,AMAGUANA,CAEZECE1,,,,
l10n_ec.bank_48,COOPERATIVA DE AHORRO Y CREDITO CONSTRUCCION COMERCIO Y PRODUCCION LTDA,Ecuador,QUITO,CHDOECE1,,,,
l10n_ec.bank_49,COOPERATIVA DE AHORRO Y CREDITO CHONE LTDA,Ecuador,CHONE,CADHECE1,,,,
l10n_ec.bank_50,COOPERATIVA DE AHORRO Y CREDITO SANTA ANA LTDA,Ecuador,SANTA ANA,OHCTECE1,,,,
l10n_ec.bank_51,DINERS CLUB DEL ECUADOR S.A.,Ecuador,QUITO,DICDECEQ,,,,
l10n_ec.bank_52,ASOCIACION MUTUALISTA AMBATO,Ecuador,AMBATO,MUATECE1,,,,
l10n_ec.bank_53,MUTUALISTA AZUAY,Ecuador,CUENCA,MUAZECE1,,,,
l10n_ec.bank_54,MUTUALISTA IMBABURA,Ecuador,IBARRA,MUIMECE1,,,,
l10n_ec.bank_55,MUTUALISTA AZUAY,Ecuador,CUENCA,MUAZECE1,,,,
l10n_ec.bank_56,COOPERATIVA DE AHORRO Y CREDITO CORPORACION CENTRO LTDA,Ecuador,QUITO,CHDPECE1,,,,
l10n_ec.bank_57,Coop. De A. Y C. Cordillera De Los Andes Ltda.,Ecuador,,242,,,,
l10n_ec.bank_58,COOPERATIVA DE AHORRO Y CREDITO PUERTO FRANCISCO DE ORELLANA,Ecuador,QUITO,OARPECE1,,,,
l10n_ec.bank_59,COOPERATIVA DE AHORRO Y CREDITO LUZ DEL VALLE,Ecuador,RUMINAHUI,CATZECE1,,,,
l10n_ec.bank_60,COOPERATIVA DE AHORRO Y CREDITO ESPERANZA Y PROGRESO DEL VALLE,Ecuador,RUMINAHUI,CAOZECE1,,,,
l10n_ec.bank_61,COOPERATIVA DE AHORRO Y CREDITO CHOCO TUNGURAHUA RUNA LTDA,Ecuador,QUITO,CAIHECE1,,,,
l10n_ec.bank_62,COOPERATIVA DE AHORRO Y CREDITO COOPARTAMOS LTDA,Ecuador,RUMINAHUI,OAEPECE1,,,,
l10n_ec.bank_63,COOPERATIVA DE AHORRO Y CREDITO EMPRENDEDORES COOPEMPRENDER LIMITADA,Ecuador,QUITO,OAEEECE1,,,,
l10n_ec.bank_64,Coop. De A. Y C. Nueva Loja Ltda.,Ecuador,,250,,,,
l10n_ec.bank_65,COOPERATIVA DE AHORRO Y CREDITO PICHINCHA LTDA.,Ecuador,QUITO,OAIHECE1,,,,
l10n_ec.bank_66,COOPERATIVA DE AHORRO Y CREDITO SAN FRANCISCO DE ASIS LTDA.,Ecuador,QUITO,CHTNECE1,,,,
l10n_ec.bank_67,COOPERATIVA DE AHORRO Y CREDITO COCA LTDA,Ecuador,QUITO Y BOLIVAR,OAOCECE1,,,,
l10n_ec.bank_68,COOPERATIVA DE AHORRO Y CREDITO VENCEDORES DE PICHINCHA LTDA CACVP,Ecuador,QUITO,CHDVECE1,,,,
l10n_ec.bank_69,COOPERATIVA DE AHORRO Y CREDITO SAN JOSE LTDA,Ecuador,CHIMBO,CSJSECE1,,,,
l10n_ec.bank_70,COOPERATIVA DE AHORRO Y CREDITO DEL EMIGRANTE ECUATORIANO Y SU FAMILIA LTDA,Ecuador,GUAYAQUIL,OAREECE1,,,,
l10n_ec.bank_71,COOPERATIVA DE AHORRO Y CREDITO CREDIL LTDA,Ecuador,SALCEDO,CHDLECE1,,,,
l10n_ec.bank_72,Coac Cuna De La Nacionalidad Ltda.,Ecuador,,259,,,,
l10n_ec.bank_73,COOPERATIVA DE AHORRO Y CREDITO MERCED LTDA,Ecuador,CUENCA,CSMDECE1,,,,
l10n_ec.bank_74,COOPERATIVA DE AHORRO Y CREDITO SANTA ISABEL LTDA,Ecuador,LOJA,OADSECE1,,,,
l10n_ec.bank_75,COOPERATIVA DE AHORRO Y CREDITO GANANSOL LTDA,Ecuador,GUALACEO,OARGECE1,,,,
l10n_ec.bank_76,COOPERATIVA DE AHORRO Y CREDITO DEL AZUAY,Ecuador,GUALACEO,CHCZECE1,,,,
l10n_ec.bank_77,COOPERATIVA DE AHORRO Y CREDITO COLEGIO DE INGENIEROS CIVILES DEL AZUAY C.I.C.A.,Ecuador,CUENCA,OHCCECE1,,,,
l10n_ec.bank_78,COOPERATIVA DE AHORRO Y CREDITO NUKA LLAKTA LTDA,Ecuador,RIOBAMBA,CHTKECE1,,,,
l10n_ec.bank_79,COOPERATIVA DE AHORRO Y CREDITO SANTA ANA LTDA,Ecuador,SANTA ANA,OHCTECE1,,,,
l10n_ec.bank_80,COOPERATIVA DE AHORRO Y CREDITO MULTIEMPRESARIAL,Ecuador,CUENCA,OHRLECE1,,,,
l10n_ec.bank_81,Coac Del Sindicato De Choferes Profesionales Del A,Ecuador,,269,,,,
l10n_ec.bank_82,COOPERATIVA DE AHORRO Y CREDITO JUAN DE SALINAS,Ecuador,SANGOLQUI,CJSLECE1,,,,
l10n_ec.bank_83,COOPERATIVA DE AHORRO Y CREDITO PUELLARO LTDA,Ecuador,QUITO,CRPUECE1,,,,
l10n_ec.bank_84,COOPERATIVA DE AHORRO Y CREDITO LA NUEVA JERUSALEN,Ecuador,QUITO,CDNJECE1,,,,
l10n_ec.bank_85,COOPERATIVA DE AHORRO Y CREDITO COOPROGRESO LTDA.,Ecuador,QUITO,CHCRECE1,,,,
l10n_ec.bank_86,COOPERATIVA DE AHORRO Y CREDITO CHOLA CUENCANA LTDA.,Ecuador,CUENCA,OAEHECE1,,,,
l10n_ec.bank_87,COOPERATIVA DE AHORRO Y CREDITO TENA LTDA,Ecuador,TENA,CTENECE1,,,,
l10n_ec.bank_88,COOPERATIVA DE AHORRO Y CREDITO DE LA PEQUENA EMPRESA GUALAQUIZA,Ecuador,GUALAQUIZA,CPEQECE1,,,,
l10n_ec.bank_89,COOPERATIVA DE AHORRO Y CREDITO ALIANZA MINAS LTDA,Ecuador,SAN JOSE DE MINAS,CAZMECE1,,,,
l10n_ec.bank_90,COOPERATIVA DE AHORRO Y CREDITO PEDRO MONCAYO LTDA,Ecuador,PEDRO MONCAYO,CPMYECE1,,,,
l10n_ec.bank_91,COOPERATIVA DE AHORRO Y CREDITO PUCARA LTDA,Ecuador,PASTOCALLE,OHCPECE1,,,,
l10n_ec.bank_92,COOPERATIVA DE AHORRO Y CREDITO SAN JOSE S.J.,Ecuador,CUENCA,CSJOECE1,,,,
l10n_ec.bank_93,COOPERATIVA DE AHORRO Y CREDITO SENOR DE GIRON,Ecuador,GIRON,CSOGECE1,,,,
l10n_ec.bank_94,COOPERATIVA DE AHORRO Y CREDITO EDUCADORES DE TUNGURAHUA LTDA,Ecuador,AMBATO,CETAECE1,,,,
l10n_ec.bank_95,COOPERATIVA DE AHORRO Y CREDITO 15 DE AGOSTO DE PILACOTO,Ecuador,LATACUNGA,CDRGECE1,,,,
l10n_ec.bank_96,COOPERATIVA DE AHORRO Y CREDITO CRISTO REY,Ecuador,LOJA,CRIYECE1,,,,
l10n_ec.bank_97,COOPERATIVA DE AHORRO Y CREDITO EDUCADORES PRIMARIOS DEL COTOPAXI,Ecuador,LATACUNGA,OACDECE1,,,,
l10n_ec.bank_98,COOPERATIVA DE AHORRO Y CREDITO MINGA LTDA,Ecuador,RIOBAMBA,CMINECE1,,,,
l10n_ec.bank_99,COOPERATIVA DE AHORRO Y CREDITO 4 DE OCTUBRE,Ecuador,PENIPE,CEOCECE1,,,,
l10n_ec.bank_100,COOPERATIVA DE AHORRO Y CREDITO CREDI FACIL LTDA,Ecuador,AMBATO,OHCIECE1,,,,
l10n_ec.bank_101,COOPERATIVA DE AHORRO Y CREDITO ALFONSO JARAMILLO LEON C.C.C,Ecuador,CUENCA,CFJLECE1,,,,
l10n_ec.bank_102,Coop. De A. Y C. Indigena Sac Pelileo,Ecuador,,297,,,,
l10n_ec.bank_103,COOPERATIVA DE AHORRO Y CREDITO INTERCULTURAL TAWANTINSUYU LTDA,Ecuador,AMBATO,OAOTECE1,,,,
l10n_ec.bank_104,Coop. De A. Y C. Ocipsa,Ecuador,,299,,,,
l10n_ec.bank_105,COOPERATIVA DE AHORRO Y CREDITO 21 DE NOVIEMBRE LTDA,Ecuador,AMBATO,CRTVECE1,,,,
l10n_ec.bank_106,COOPERATIVA DE AHORRO Y CREDITO LA FLORESTA LTDA,Ecuador,AMBATO,OAELECE1,,,,
l10n_ec.bank_107,COOPERATIVA DE AHORRO Y CREDITO DE LA CORP DE ORG. CAMPESINAS INDIGENAS DE QUISAPINCHA COCIQ,Ecuador,AMBATO,OAIOECE1,,,,
l10n_ec.bank_108,COOPERATIVA DE AHORRO Y CREDITO MULTICULTURAL INDIGENA LTDA,Ecuador,AMBATO,CHTMECE1,,,,
l10n_ec.bank_109,COOPERATIVA DE AHORRO Y CREDITO CRECER WINARI LTDA,Ecuador,AMBATO,OACCECE1,,,,
l10n_ec.bank_110,Coop. De A. Y C. Banos De Agua Santa Ltda.,Ecuador,,305,,,,
l10n_ec.bank_111,COOPERATIVA DE AHORRO Y CREDITO 1 DE JULIO,Ecuador,AMBATO,CORJECE1,,,,
l10n_ec.bank_112,COOPERATIVA DE AHORRO Y CREDITO SUMAK NAN LTDA.,Ecuador,AMBATO,CRTKECE1,,,,
l10n_ec.bank_113,COOPERATIVA DE AHORRO Y CREDITO CANAR LTDA,Ecuador,GUAYAQUIL,OADCECE1,,,,
l10n_ec.bank_114,COOPERATIVA DE AHORRO Y CREDITO SAN ANTONIO LTDA,Ecuador,IBARRA,OAESECE1,,,,
l10n_ec.bank_115,COOPERATIVA DE AHORRO Y CREDITO FONDO PARA EL DESARROLLO Y LA VIDA,Ecuador,QUITO,OHDFECE1,,,,
l10n_ec.bank_116,COOPERATIVA DE AHORRO Y CREDITO METROPOLIS LTDA,Ecuador,QUINSALOMA,OHDMECE1,,,,
l10n_ec.bank_117,COOPERATIVA DE AHORRO Y CREDITO EL CAFETAL,Ecuador,BABAHOYO,OHCFECE1,,,,
l10n_ec.bank_118,COOPERATIVA DE AHORRO Y CREDITO MICROEMPRESARIAL SUCRE,Ecuador,SUCRE,OHCMECE1,,,,
l10n_ec.bank_119,Coop. De A. Y C. Afroecuatoriana De La Peq. Emp. L,Ecuador,,315,,,,
l10n_ec.bank_120,COOPERATIVA DE AHORRO Y CREDITO JOYOCOTO LTDA,Ecuador,GUARANDA,CATJECE1,,,,
l10n_ec.bank_121,COOPERATIVA DE AHORRO Y CREDITO SAN ANTONIO LTDA,Ecuador,IBARRA,OAESECE1,,,,
l10n_ec.bank_122,COOPERATIVA DE AHORRO Y CREDITO UNIOTAVALO LTDA,Ecuador,OTAVALO,CHTVECE1,,,,
l10n_ec.bank_123,COOPERATIVA DE AHORRO Y CREDITO UNION EL EJIDO,Ecuador,COTACACHI,OAEIECE1,,,,
l10n_ec.bank_124,Coop. De A. Y C. Genesis Ltda.,Ecuador,,320,,,,
l10n_ec.bank_125,Coop. De A Y C. Maria Auxiliadora De Quiroga Ltda,Ecuador,,321,,,,
l10n_ec.bank_126,Coop. De A. Y C. Fortaleza,Ecuador,,322,,,,
l10n_ec.bank_127,BANCO FINCA S.A.,Ecuador,Quito,FCNCECE1,Av.Rio Amazonas N39-123,José Arizaga,170135,(02)2461660
l10n_ec.bank_128,COOPERATIVA DE AHORRO Y CREDITO CALCETA LTDA,Ecuador,CALCETA,OATEECE1,,,,
l10n_ec.bank_129,COOPERATIVA DE AHORRO Y CREDITO 9 DE OCTUBRE LTDA,Ecuador,SALCEDO,CHDTECE1,,,,
l10n_ec.bank_130,COOPERATIVA DE AHORRO Y CREDITO DE LA PEQUENA EMPRESA BIBLIAN LTDA,Ecuador,BIBLIAN,CPMBECE1,,,,
l10n_ec.bank_131,COOPERATIVA DE AHORRO Y CREDITO SAN GABRIEL LTDA,Ecuador,MONTUFAR,CSGAECE1,,,,
l10n_ec.bank_132,COOPERATIVA DE AHORRO Y CREDITO SAN JOSE LTDA,Ecuador,CHIMBO,CSJSECE1,,,,
l10n_ec.bank_133,COOPERATIVA DE AHORRO Y CREDITO SAN MIGUEL DE LOS BANCOS LTD,Ecuador,SAN MIGUEL DE LOS BANCOS,CSMNECE1,,,,
l10n_ec.bank_134,COOPERATIVA DE AHORRO Y CREDITO SEMILLA DEL PROGRESO LTDA,Ecuador,SARAGURO,CESGECE1,,,,
l10n_ec.bank_135,COOPERATIVA DE AHORRO Y CREDITO MUJERES UNIDAS,Ecuador,IBARRA,CDMUECE1,,,,
l10n_ec.bank_136,COOPERATIVA DE AHORRO Y CREDITO SANTA ROSA LTDA,Ecuador,SANTA ROSA,CHDNECE1,,,,
l10n_ec.bank_137,COOPERATIVA DE AHORRO Y CREDITO ONCE DE JUNIO,Ecuador,MACHALA,CHRNECE1,,,,
l10n_ec.bank_138,COOPERATIVA DE AHORRO Y CREDITO PUJILI LTDA.,Ecuador,PUJILI,CHTJECE1,,,,
l10n_ec.bank_139,COOPERATIVA DE AHORRO Y CREDITO CREDIL LTDA,Ecuador,SALCEDO,CHDLECE1,,,,
l10n_ec.bank_140,Coop. De A. Y C. Mushuk Pakari Ltda.,Ecuador,,339,,,,
l10n_ec.bank_141,COOPERATIVA DE AHORRO Y CREDITO UNIBLOCK Y SERVICIOS LTDA,Ecuador,LATACUNGA,CHDKECE1,,,,
l10n_ec.bank_142,COOPERATIVA DE AHORRO Y CREDITO SAN FERNANDO LTDA,Ecuador,AMBATO,OAEFECE1,,,,
l10n_ec.bank_143,COOPERATIVA DE AHORRO Y CREDITO FUTURO LAMANENSE,Ecuador,LA MANA,OHETECE1,,,,
l10n_ec.bank_144,COOPERATIVA DE AHORRO Y CREDITO SAQUISILI LTDA.,Ecuador,SAQUISILI,CRCQECE1,,,,
l10n_ec.bank_145,COOPERATIVA DE AHORRO Y CREDITO INNOVACION ANDINA LTDA.,Ecuador,LATACUNGA,OHCVECE1,,,,
l10n_ec.bank_146,COOPERATIVA DE AHORRO Y CREDITO COMERCIO LTDA,Ecuador,PORTOVIEJO,CHRCECE1,,,,
l10n_ec.bank_147,COOPERATIVA DE AHORRO Y CREDITO MUSHUKWASI,Ecuador,SARAGURO,CAEWECE1,,,,
l10n_ec.bank_148,COOPERATIVA DE AHORRO Y CREDITO SOLIDARIA LTDA,Ecuador,LOJA,OARSECE1,,,,
l10n_ec.bank_149,COOPERATIVA DE AHORRO Y CREDITO CREDIL LTDA,Ecuador,SALCEDO,CHDLECE1,,,,
l10n_ec.bank_150,Interdin S.A.,Ecuador,,349,,,,
l10n_ec.bank_151,COOPERATIVA DE AHORRO Y CREDITO DE LA PEQUENA EMPRESA CACPE LOJA LTDA,Ecuador,LOJA,CARQECE1,,,,
l10n_ec.bank_152,COOPERATIVA DE AHORRO Y CREDITO ECONOMIA DEL SUR ECOSUR,Ecuador,SARAGURO,OADEECE1,,,,
l10n_ec.bank_153,COOPERATIVA DE AHORRO Y CREDITO EL MIGRANTE SOLIDARIO,Ecuador,BIBLIAN,CHDGECE1,,,,
l10n_ec.bank_154,COOPERATIVA DE AHORRO Y CREDITO SAN JOSE LTDA,Ecuador,CHIMBO,CSJSECE1,,,,
l10n_ec.bank_155,COOPERATIVA DE AHORRO Y CREDITO DEL SINDICATO DE CHOFERES PROFESIONALES DEL AZUAY LTDA,Ecuador,CUENCA,OADTECE1,,,,
l10n_ec.bank_156,COOPERATIVA DE AHORRO Y CREDITO 23 DE ENERO,Ecuador,PUYANGO,OHREECE1,,,,
l10n_ec.bank_157,COOPERATIVA DE AHORRO Y CREDITO MUSHUK KAWSAY LTDA,Ecuador,QUITO,CAMWECE1,,,,
l10n_ec.bank_158,COOPERATIVA DE AHORRO Y CREDITO MUSHUC RUNA LTDA,Ecuador,AMBATO,CMRUECE1,,,,
l10n_ec.bank_159,COOPERATIVA DE AHORRO Y CREDITO SAN MARCOS,Ecuador,AZOGUES,OACSECE1,,,,
l10n_ec.bank_160,COOPERATIVA DE AHORRO Y CREDITO ANTORCHA LTDA.,Ecuador,ESMERALDAS,OARHECE1,,,,
l10n_ec.bank_161,COOPERATIVA DE AHORRO Y CREDITO SOCIO AMIGO COOPSA,Ecuador,MARCABELI,OAEOECE1,,,,
l10n_ec.bank_162,COOPERATIVA DE AHORRO Y CREDITO INDIGENAS GALAPAGOS LTDA.,Ecuador,SANTA CRUZ,OHRGECE1,,,,
l10n_ec.bank_163,COOPERATIVA DE AHORRO Y CREDITO CAMARA DE COMERCIODEL CANTON EL CARMEN LTDA,Ecuador,EL CARMEN,OAERECE1,,,,
l10n_ec.bank_164,COOPERATIVA DE AHORRO Y CREDITO LA BENEFICA LTDA,Ecuador,EL CARMEN,CHEFECE1,,,,
l10n_ec.bank_165,COOPERATIVA DE AHORRO Y CREDITO ABDON CALDERON LTDA,Ecuador,PORTOVIEJO,OACBECE1,,,,
l10n_ec.bank_166,COOPERATIVA DE AHORRO Y CREDITO CAMARA DE COMERCIODEL CANTON EL CARMEN LTDA,Ecuador,EL CARMEN,OAERECE1,,,,
l10n_ec.bank_167,COOPERATIVA DE AHORRO Y CREDITO CACPE MANABI,Ecuador,PORTOVIEJO,OACPECE1,,,,
l10n_ec.bank_168,COOPERATIVA DE AHORRO Y CREDITO LA INMACULADA DE SAN PLACIDO LTDA,Ecuador,PORTOVIEJO,OAIIECE1,,,,
l10n_ec.bank_169,COOPERATIVA DE AHORRO Y CREDITO CACPE MANABI,Ecuador,PORTOVIEJO,OACPECE1,,,,
l10n_ec.bank_170,COOPERATIVA DE AHORRO Y CREDITO MAGISTERIO MANABITA LIMITADA,Ecuador,PORTOVIEJO,OACIECE1,,,,
l10n_ec.bank_171,Coac Tienda De Dinero Ltda.,Ecuador,,370,,,,
l10n_ec.bank_172,COOPERATIVA DE AHORRO Y CREDITO SANTA MARIA DE LA MANGA DEL CURA LTDA.,Ecuador,PUERTO BAQUERIZO MORENO,OHRTECE1,,,,
l10n_ec.bank_173,COOPERATIVA DE AHORRO Y CREDITO CAMARA DE COMERCIO DE LOJA,Ecuador,LOJA,OHERECE1,,,,
l10n_ec.bank_174,COOPERATIVA DE AHORRO Y CREDITO GUAMOTE LTDA,Ecuador,GUAMOTE,OATMECE1,,,,
l10n_ec.bank_175,COOPERATIVA DE AHORRO Y CREDITO PRODUCCION AHORRO INVERSION SERVICIO P.A.I.S. LTDA,Ecuador,RIOBAMBA,OARRECE1,,,,
l10n_ec.bank_176,Coop. De A. Y C. Frandesc Ltda.,Ecuador,,383,,,,
l10n_ec.bank_177,COOPERATIVA DE AHORRO Y CREDITO NUKA LLAKTA LTDA,Ecuador,RIOBAMBA,CHTKECE1,,,,
l10n_ec.bank_178,COOPERATIVA DE AHORRO Y CREDITO CAMARA DE COMERCIO DE RIOBAMBA LTDA,Ecuador,RIOBAMBA,OADBECE1,,,,
l10n_ec.bank_179,COOPERATIVA DE AHORRO Y CREDITO BASHALAN LTDA,Ecuador,RIOBAMBA,COOHECE1,,,,
l10n_ec.bank_180,COOPERATIVA DE AHORRO Y CREDITO CAMARA DE COMERCIO DE SANTO DOMINGO,Ecuador,SANTO DOMINGO,OARAECE1,,,,
l10n_ec.bank_181,COOPERATIVA DE AHORRO Y CREDITO EDUCADORES TULCAN LTDA.,Ecuador,TULCAN,OARDECE1,,,,
l10n_ec.bank_182,Coop. Warmikunapak Rikchari,Ecuador,,400,,,,
l10n_ec.bank_183,COOPERATIVA DE AHORRO Y CREDITO MI TIERRA,Ecuador,PELILEO,CMTRECE1,,,,
l10n_ec.bank_184,COOPERATIVA DE AHORRO Y CREDITO DE LA PEQUENA EMPRESA CACPE YANTZAZA LTDA,Ecuador,YANTZAZA,CAIQECE1,,,,
l10n_ec.bank_185,COOPERATIVA DE AHORRO Y CREDITO FONDO PARA EL DESARROLLO Y LA VIDA,Ecuador,QUITO,OHDFECE1,,,,
l10n_ec.bank_186,Caja Ecuaespana,Ecuador,,406,,,,
l10n_ec.bank_187,COOPERATIVA DE AHORRO Y CREDITO NUEVA HUANCAVILCA,Ecuador,LA LIBERTAD,CNHCECE1,,,,
l10n_ec.bank_188,COOPERATIVA DE AHORRO Y CREDITO ERCO LTDA,Ecuador,CUENCA,CEORECE1,,,,
l10n_ec.bank_189,COOPERATIVA DE AHORRO Y CREDITO CAMARA DE COMERCIO DE AMBATO LTDA,Ecuador,AMBATO,CMCOECE1,,,,
l10n_ec.bank_190,COOPERATIVA DE AHORRO Y CREDITO MUSHUC RUNA LTDA,Ecuador,AMBATO,CMRUECE1,,,,
l10n_ec.bank_191,COOPERATIVA DE AHORRO Y CREDITO AMBATO LTDA,Ecuador,AMBATO,CDCAECE1,,,,
l10n_ec.bank_192,COOPERATIVA DE AHORRO Y CREDITO DORADO LTDA,Ecuador,AMBATO,CRODECE1,,,,
l10n_ec.bank_193,COOPERATIVA DE AHORRO Y CREDITO CREDIL LTDA,Ecuador,SALCEDO,CHDLECE1,,,,
l10n_ec.bank_194,COOPERATIVA DE AHORRO Y CREDITO ARTESANOS LTDA,Ecuador,IBARRA,CDASECE1,,,,
